Unnamed: 0,DATETIMEDATA,PM25,O3,WS,Temperature,Relative Humidity,Wind Direction,Atmospheric Pressure,RAIN
72,2024-01-04 00:00:00,11.1,3.0,1,27.0,78.0,107.0,759.0,0
73,2024-01-04 01:00:00,11.8,8.0,1,27.0,79.0,108.0,758.0,0
74,2024-01-04 02:00:00,12.8,0.0,1,26.0,83.0,103.0,758.0,0
75,2024-01-04 03:00:00,15.3,0.0,0,26.0,84.0,104.0,758.0,0
76,2024-01-04 04:00:00,12.9,1.0,1,26.0,86.0,105.0,758.0,0
77,2024-01-04 05:00:00,17.0,1.0,1,26.0,87.0,104.0,758.0,0
78,2024-01-04 06:00:00,15.1,0.0,1,26.0,85.0,106.0,759.0,0
79,2024-01-04 07:00:00,15.7,5.0,1,27.0,79.0,117.0,759.0,0
80,2024-01-04 08:00:00,16.4,0.0,1,29.0,73.0,118.0,760.0,0
81,2024-01-04 09:00:00,21.5,2.0,1,30.0,65.0,137.0,760.0,0
82,2024-01-04 10:00:00,20.5,14.0,1,32.0,58.0,106.0,760.0,0
83,2024-01-04 11:00:00,16.4,34.0,1,32.0,53.0,155.0,759.0,0
84,2024-01-04 12:00:00,14.5,13.0,1,33.0,51.0,116.0,759.0,0
85,2024-01-04 13:00:00,15.4,11.03867403314917,1,33.0,48.0,135.0,758.0,0
86,2024-01-04 14:00:00,13.4,34.0,1,33.0,50.0,175.0,757.0,0
87,2024-01-04 15:00:00,17.1,33.0,1,32.0,56.0,154.0,757.0,0
88,2024-01-04 16:00:00,14.6,32.0,1,32.0,58.0,142.0,757.0,0
89,2024-01-04 17:00:00,19.7,11.0,1,30.0,64.0,129.0,758.0,0
90,2024-01-04 18:00:00,19.7,16.0,1,29.0,68.0,124.0,758.0,0
91,2024-01-04 19:00:00,20.9,6.0,1,28.0,74.0,138.0,759.0,0
92,2024-01-04 20:00:00,21.1,0.0,1,28.0,73.0,153.0,759.0,0
93,2024-01-04 21:00:00,23.1,0.0,1,28.0,74.0,125.0,759.0,0
94,2024-01-04 22:00:00,27.6,10.0,1,28.0,74.0,123.0,760.0,0
95,2024-01-04 23:00:00,19.9,4.0,1,27.0,74.0,111.0,760.0,0
96,2024-01-05 00:00:00,17.5,19.0,1,27.0,73.0,123.0,759.0,0
97,2024-01-05 01:00:00,18.4,2.0,1,27.0,74.0,97.0,759.0,0
98,2024-01-05 02:00:00,17.0,0.0,1,26.0,77.0,94.0,758.0,0
99,2024-01-05 03:00:00,17.4,3.0,1,26.0,76.0,98.0,758.0,0
100,2024-01-05 04:00:00,18.9,0.0,1,26.0,75.0,99.0,758.0,0
101,2024-01-05 05:00:00,14.6,1.0,1,26.0,77.0,109.0,758.0,0
102,2024-01-05 06:00:00,13.8,1.0,1,26.0,75.0,110.0,759.0,0
103,2024-01-05 07:00:00,19.9,1.0,1,27.0,74.0,107.0,759.0,0
104,2024-01-05 08:00:00,20.1,0.0,1,28.0,69.0,90.0,760.0,0
105,2024-01-05 09:00:00,19.0,0.0,1,30.0,66.0,114.0,760.0,0
106,2024-01-05 10:00:00,18.5,2.0,1,30.0,63.0,148.0,760.0,0
107,2024-01-05 11:00:00,21.3,7.0,1,31.0,56.0,214.0,759.0,0
108,2024-01-05 12:00:00,17.6,1.0,1,31.0,56.0,232.0,759.0,0
109,2024-01-05 13:00:00,15.3,7.0,1,32.0,49.0,190.0,758.0,0
110,2024-01-05 14:00:00,12.4,11.03867403314917,1,31.0,53.0,175.0,758.0,0
111,2024-01-05 15:00:00,13.1,32.0,1,31.0,55.0,201.0,758.0,0
112,2024-01-05 16:00:00,11.6,30.0,1,30.0,58.0,177.0,758.0,0
113,2024-01-05 17:00:00,18.0,30.0,1,29.0,65.0,152.0,758.0,0
114,2024-01-05 18:00:00,19.2,8.0,1,28.0,70.0,173.0,759.0,0
115,2024-01-05 19:00:00,19.4,2.0,1,28.0,70.0,151.0,759.0,0
116,2024-01-05 20:00:00,22.4,1.0,1,28.0,70.0,123.0,760.0,0
117,2024-01-05 21:00:00,20.4,1.0,1,28.0,71.0,104.0,760.0,0
118,2024-01-05 22:00:00,21.6,9.0,1,27.0,72.0,99.0,760.0,0
119,2024-01-05 23:00:00,17.1,20.0,1,27.0,74.0,114.0,760.0,0
120,2024-01-06 00:00:00,18.6,2.0,1,27.0,77.0,111.0,759.0,0
121,2024-01-06 01:00:00,19.9,1.0,1,27.0,78.0,115.0,759.0,0
122,2024-01-06 02:00:00,20.1,0.0,1,27.0,78.0,114.0,759.0,0
123,2024-01-06 03:00:00,22.7,1.0,1,27.0,78.0,113.0,758.0,0
124,2024-01-06 04:00:00,20.6,0.0,1,26.0,79.0,108.0,758.0,0
125,2024-01-06 05:00:00,20.6,4.0,1,26.0,83.0,105.0,759.0,0
126,2024-01-06 06:00:00,20.0,3.0,1,26.0,82.0,110.0,759.0,0
127,2024-01-06 07:00:00,23.2,0.0,1,26.0,83.0,111.0,760.0,0
128,2024-01-06 08:00:00,24.0,1.0,1,29.0,70.0,123.0,760.0,0
129,2024-01-06 09:00:00,23.8,14.0,1,29.0,68.0,141.0,760.0,0
