DATETIMEDATA,PREDICTION_PM25
2024-03-09,20.294541239289185
2024-03-10,18.60169433538331
2024-03-11,18.330297382452056
2024-03-12,18.256412390171004
2024-03-13,18.22597455454351
2024-03-14,18.125535978257304
2024-03-15,18.143841392671565
2024-03-16,18.025460556488333
2024-03-17,17.90074901659317
2024-03-18,17.72411326815313
2024-03-19,17.709313209855022
2024-03-20,17.824959350341068
2024-03-21,17.968406136872076
2024-03-22,17.746970168798764
2024-03-23,17.950790558066913
2024-03-24,17.948548185220353
2024-03-25,18.094108360173117
2024-03-26,18.099158682423816
2024-03-27,18.097561256371087
2024-03-28,18.085485991541386
2024-03-29,18.039263180286337
2024-03-30,18.027392117490702
2024-03-31,17.93015708955689
2024-04-01,17.936906446016227
2024-04-02,17.817434496908586
2024-04-03,17.894463656980218
2024-04-04,17.749779505935095
2024-04-05,17.907850041249528
2024-04-06,17.949929300972176
2024-04-07,18.002259415734365
2024-04-08,17.87406956116255
2024-04-09,18.013737283270135
2024-04-10,18.109701830210998
2024-04-11,18.125906251644896
2024-04-12,18.047785619537972
