DATETIMEDATA,PREDICTION_WD
2024-03-09,128.96944888143443
2024-03-10,133.62249668831512
2024-03-11,134.5286062148386
2024-03-12,133.60840310119576
2024-03-13,134.84451985736067
2024-03-14,134.57957906362063
2024-03-15,135.02693082869777
2024-03-16,134.69060429328132
2024-03-17,133.44572394940528
2024-03-18,131.52024328716382
2024-03-19,130.7058318805153
2024-03-20,132.30461288761487
2024-03-21,134.75716089858383
2024-03-22,135.37076491624154
2024-03-23,134.9121464959667
2024-03-24,132.81848722597724
2024-03-25,134.28604215092463
2024-03-26,136.91580432408813
2024-03-27,137.95452227833067
2024-03-28,137.09720088331161
2024-03-29,135.9016507930373
2024-03-30,135.6325538885686
2024-03-31,135.31601513329343
2024-04-01,135.22219098419552
2024-04-02,135.1197748376688
2024-04-03,135.4607315968641
2024-04-04,135.1755820558176
2024-04-05,133.5117360911297
2024-04-06,136.12860694824317
2024-04-07,136.19188939635234
2024-04-08,136.07587173455252
2024-04-09,135.95241674835535
2024-04-10,117.02000815056222
2024-04-11,135.85708639080278
2024-04-12,136.40295160980574
