DATETIMEDATA,PREDICTION_WD
2024-03-09,128.77930773914696
2024-03-10,132.9687452059852
2024-03-11,131.99337257634267
2024-03-12,132.79236007098305
2024-03-13,132.21250550364536
2024-03-14,133.2710238491569
2024-03-15,132.98071484950563
2024-03-16,133.82585675147612
2024-03-17,134.52215301580688
2024-03-18,134.95406612711747
2024-03-19,134.58616065733835
2024-03-20,134.5437814969418
2024-03-21,132.76326675884414
2024-03-22,133.87595458451656
2024-03-23,134.34209469013126
2024-03-24,134.54021954005634
2024-03-25,133.51871976857458
2024-03-26,133.37978071757541
2024-03-27,133.23910764091502
2024-03-28,133.47070724513392
2024-03-29,133.92011616739333
2024-03-30,133.96674268114802
2024-03-31,134.43995467833471
2024-04-01,133.9524218102695
2024-04-02,134.47766440474737
2024-04-03,134.4849474981337
2024-04-04,134.8890114550966
2024-04-05,135.17763198842485
2024-04-06,133.57900738166407
2024-04-07,133.60438403220584
2024-04-08,134.17589210908983
2024-04-09,133.14914772075716
2024-04-10,133.3997462314733
2024-04-11,131.40357047510292
2024-04-12,132.29437101187017
